scorer,DLC_Resnet50_tracking_20252606-16-11Expnt001May22shuffle1_snapshot_best-90,DLC_Resnet50_tracking_20252606-16-11Expnt001May22shuffle1_snapshot_best-90,DLC_Resnet50_tracking_20252606-16-11Expnt001May22shuffle1_snapshot_best-90,DLC_Resnet50_tracking_20252606-16-11Expnt001May22shuffle1_snapshot_best-90,DLC_Resnet50_tracking_20252606-16-11Expnt001May22shuffle1_snapshot_best-90,DLC_Resnet50_tracking_20252606-16-11Expnt001May22shuffle1_snapshot_best-90,DLC_Resnet50_tracking_20252606-16-11Expnt001May22shuffle1_snapshot_best-90,DLC_Resnet50_tracking_20252606-16-11Expnt001May22shuffle1_snapshot_best-90,DLC_Resnet50_tracking_20252606-16-11Expnt001May22shuffle1_snapshot_best-90
bodyparts,point_1,point_1,point_1,point_2,point_2,point_2,point_3,point_3,point_3
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,786.35443,556.0067,0.9567128,809.0977,531.46326,0.97643596,749.6603,451.67572,0.8530859
1,786.4516,555.32666,0.95809454,809.1236,531.47125,1.0,750.1543,451.57703,0.8935547
2,786.6895,555.4131,0.9660712,808.9957,531.87115,1.0,749.6872,451.12717,0.9113419
3,786.76245,555.7853,0.9693765,809.0309,531.80554,1.0,749.8102,450.31537,0.8917723
4,786.54785,555.2612,0.9399205,809.6382,531.5345,0.99275136,749.28705,449.8092,0.9305039
5,786.4323,555.3748,0.9722806,809.2804,531.6376,1.0,748.9605,449.13153,0.93923414
6,786.4973,555.5281,0.9724241,809.1171,531.82904,1.0,748.0739,449.30978,0.93837535
7,786.4222,555.61945,0.9563029,809.24664,531.6725,1.0,748.08606,449.1371,0.927956
8,786.35156,555.3331,0.9329321,809.30597,531.7145,0.9954079,747.6589,449.11502,0.9138031
9,786.3825,555.1247,0.93359333,808.86285,531.742,0.974498,747.8002,449.14105,0.9226252
10,786.3853,555.0205,0.9348983,808.9545,531.56805,0.978822,747.8383,448.82275,0.91946054
11,786.2995,555.0553,0.9454325,808.63165,531.72003,0.9859019,747.8185,449.19287,0.9058717
12,786.1249,555.16187,0.955097,808.6448,531.94775,1.0,747.81104,449.12366,0.8980236
13,786.3179,555.3023,0.95240945,808.9922,532.0037,0.9994671,747.6776,449.12796,0.9240165
14,786.46436,555.4876,0.9621503,808.6383,531.80963,1.0,748.30444,449.10052,0.916681
15,786.6962,555.51465,0.97778827,808.4836,531.66077,1.0,747.6934,449.55905,0.8784392
16,786.6355,555.7965,0.975918,808.1713,531.66473,1.0,748.48364,449.59976,0.8978159
17,786.49774,556.2044,0.98505473,808.17645,531.6786,1.0,749.0083,449.87683,0.8849862
18,786.348,555.1456,0.94146794,808.47253,531.71454,0.99420744,748.3589,449.5272,0.90254223
19,786.5452,555.5372,0.9580795,808.68774,531.60156,0.99076766,748.82025,449.05847,0.884621
20,786.7983,555.588,0.9487131,807.71094,531.12744,0.9773935,748.52136,449.20184,0.9205793
21,786.67145,555.6149,0.9671,807.5655,531.18726,0.9993893,748.7513,449.34897,0.9301985
22,786.55493,555.613,0.97207063,808.29034,531.5706,1.0,749.0326,449.18665,0.9040897
23,786.4054,555.8639,0.97835034,807.38354,531.2836,1.0,749.8614,448.701,0.89622545
24,786.3116,555.88696,0.9911533,808.29205,531.6072,0.9924843,749.85333,447.9301,0.86845744
25,786.37225,555.32245,0.9458296,808.78235,531.50684,1.0,750.4917,448.87802,0.88639337
26,786.4392,555.02606,0.9469443,808.4157,531.6662,0.98272485,750.8868,447.55975,0.88453245
27,786.222,555.6039,0.9483371,807.7234,531.08466,0.95503235,750.87946,447.11826,0.8565711
28,786.25397,555.2715,0.92297274,807.50946,531.28705,0.95849293,750.97015,446.78918,0.8434941
29,786.1315,555.22473,0.937264,808.70996,531.62524,0.97540003,750.7581,446.6723,0.8318651
30,786.2753,554.9694,0.9497644,807.7679,531.0972,0.97855574,750.82465,446.70193,0.84843946
31,786.2673,555.3602,0.95418185,807.8181,531.11554,0.9780327,751.1505,446.70496,0.8417167
32,786.24854,555.35333,0.96674865,807.624,531.08453,0.9709237,751.05396,446.58374,0.84683484
33,786.2551,555.6779,0.95239705,807.5928,531.3529,0.99265164,751.3263,446.665,0.7958342
34,786.3818,555.56976,0.9452823,807.76245,530.92487,0.9699455,751.18176,446.35864,0.81389093
35,786.4172,555.3606,0.9424924,808.8334,531.539,0.9758963,751.45605,446.11853,0.8537798
36,786.71185,554.4065,0.8741136,809.21545,531.0638,0.9228831,751.0275,446.39557,0.8569734
37,786.6732,554.8082,0.84749264,808.75385,531.2403,0.9328941,751.0783,446.07214,0.85827476
38,786.38995,554.5651,0.8662959,808.7814,531.2865,0.9498516,750.7871,446.15158,0.8855518
39,786.08997,554.99384,0.91269875,807.64105,530.88684,0.96749884,753.44025,445.89474,0.81967175
40,786.1301,554.96783,0.912513,808.7434,531.52545,0.9616044,754.9869,445.3414,0.8507798
41,786.38824,555.4976,0.9635222,808.5952,531.9128,0.99856216,755.87646,446.24976,0.7801086
42,786.38434,555.50543,0.9528545,808.6208,531.5378,1.0,755.3237,447.52234,0.75172436
43,786.2579,554.75867,0.9208798,808.3807,531.1747,1.0,754.6199,447.73343,0.80717397
44,786.6128,555.459,0.9591827,808.8889,530.9113,1.0,754.5367,448.18613,0.80155826
45,786.6295,555.7915,0.977648,809.16364,531.05585,1.0,750.3178,451.66663,0.89002764
46,786.67035,555.55804,0.9470127,808.9545,530.591,1.0,748.81433,452.51993,0.8550954
47,786.6811,555.7398,0.97486335,808.9444,531.1791,1.0,746.86707,453.67117,0.79304224
48,786.4219,554.9431,0.93699795,809.41895,531.412,1.0,746.08057,455.53278,0.6813189
49,786.9894,556.00464,0.992142,809.93256,531.24615,1.0,742.7643,456.00775,0.6338593
50,787.03345,555.8586,0.97960144,809.7762,531.3419,1.0,742.38666,458.4232,0.74050426
51,787.1609,555.97516,0.9867871,809.7836,531.0862,1.0,740.92255,459.98328,0.8171095
52,787.2618,556.51086,0.9771493,809.616,530.5765,1.0,739.88,460.89178,0.86522627
53,786.67065,556.2662,0.9688963,810.2129,531.3004,1.0,738.7847,463.51236,0.8719363
54,786.90466,556.0981,0.98906237,810.13837,531.7958,1.0,738.53864,465.20032,0.7223278
55,787.1203,556.4082,0.9864451,810.37915,531.852,1.0,738.1022,464.30954,0.6826236
56,787.0584,556.61615,0.9834644,810.06366,531.6223,1.0,739.5617,461.29373,0.90834904
57,786.18005,555.6781,0.966656,809.1089,531.7133,1.0,741.01825,459.79782,0.8344922
58,786.665,556.26306,0.9826695,808.98224,531.76904,1.0,739.81805,459.49686,0.71043146
59,786.5327,555.909,0.9734866,809.26715,531.58105,1.0,735.29614,459.55118,0.6583092
60,786.9264,556.2537,0.988255,809.20685,531.63214,1.0,738.2649,461.36398,0.6684463
61,786.8411,556.2733,0.9829735,809.41235,531.8486,1.0,736.8383,462.63232,0.695281
62,786.7627,556.0145,0.99321586,809.8532,531.6828,1.0,737.4192,463.4307,0.7371502
63,786.9486,556.7186,0.9907594,809.5932,531.7325,1.0,735.28784,466.3816,0.81434643
64,787.1019,557.1749,0.99424493,809.4484,531.90826,1.0,734.94147,467.60706,0.7701561
65,787.1971,556.77185,0.9999417,809.7568,531.87854,1.0,733.5754,469.11108,0.8053268
66,787.675,557.3718,1.0,809.78503,532.0397,1.0,733.6693,470.10895,0.74743474
67,787.505,558.1106,0.9777867,809.84454,533.1187,1.0,734.4062,471.39197,0.69362074
68,787.823,559.5272,0.943708,809.89166,534.33105,1.0,734.29803,472.75806,0.7094172
69,787.9493,560.3598,0.9003733,809.96704,534.62164,0.99906373,735.36743,471.9213,0.7608952
70,787.7061,561.2488,0.89158696,809.7721,535.0205,0.9931721,737.22675,469.70963,0.7074175
71,787.6841,561.3999,0.8895573,809.1783,534.5623,1.0,740.8356,464.5606,0.7895913
72,787.56085,560.7357,0.9049408,808.80414,534.31647,1.0,745.7117,461.01175,0.9105424
73,787.5175,560.30804,0.9162225,808.881,534.12714,1.0,749.063,457.31723,0.9062372
74,787.5954,560.3517,0.9053648,808.9013,533.9934,0.9990633,749.7697,456.39325,0.88889676
75,787.5076,560.10803,0.9131471,808.8431,534.069,1.0,748.3855,457.65564,0.9585128
76,787.4271,559.5299,0.9326359,808.87067,534.27936,1.0,747.1079,457.7077,0.9879169
77,787.4442,559.4377,0.9398481,809.0617,534.66455,0.98997444,746.2882,458.23926,0.967415
